location	Latitude	Longitude
Halstad city	47.35	-96.82
Ham Lake city	45.25	-93.2
Hamburg city	44.73	-93.96
Hammond city	44.22	-92.37
Hampton city	44.61	-93
Hancock city	45.5	-95.8
Hanley Falls city	44.69	-95.62
Hanover city	45.16	-93.66
Hanska city	44.15	-94.49
Harding city	46.12	-94.04
Hardwick city	43.77	-96.2
Harmony city	43.55	-92.01
Harris city	45.6	-92.99
Hartland city	43.8	-93.49
Hastings city	44.73	-92.85
Hatfield city	43.95	-96.19
Hawley city	46.88	-96.32
Hayfield city	43.89	-92.85
Hayward city	43.65	-93.25
Hazel Run city	44.75	-95.72
Hector city	44.74	-94.71
Heidelberg city	44.49	-93.63
Henderson city	44.53	-93.91
Hendricks city	44.51	-96.43
Hendrum city	47.26	-96.81
Henning city	46.32	-95.44
Henriette city	45.87	-93.12
Herman city	45.81	-96.14
Hermantown city	46.81	-92.24
Heron Lake city	43.8	-95.32
Hewitt city	46.32	-95.09
Hibbing city	47.4	-92.95
Hill City city	46.98	-93.6
Hillman city	46.01	-93.89
Hills city	43.53	-96.36
Hilltop city	45.05	-93.25
Hinckley city	46.01	-92.93
Hitterdal city	46.98	-96.26
Hoffman city	45.83	-95.79
Hokah city	43.76	-91.35
Holdingford city	45.73	-94.47
Holland city	44.09	-96.19
Hollandale city	43.76	-93.2
Holloway city	45.24	-95.91
Holt city	48.29	-96.19
Homer	44.01	-91.56
Hopkins city	44.93	-93.41
Houston city	43.76	-91.57
Howard Lake city	45.06	-94.07
Hoyt Lakes city	47.56	-92.12
Hugo city	45.17	-92.96
Humboldt city	48.92	-97.09
Hutchinson city	44.89	-94.38
Ihlen city	43.91	-96.37
Independence city	45.02	-93.71
Inger	47.56	-93.98
International Falls city	48.59	-93.41
Inver Grove Heights city	44.82	-93.06
Iona city	43.91	-95.79
Iron Junction city	47.42	-92.61
Ironton city	46.48	-94
Isanti city	45.49	-93.24
Isle city	46.14	-93.46
Ivanhoe city	44.47	-96.25
Jackson city	43.63	-94.99
Janesville city	44.12	-93.71
Jasper city	43.85	-96.4
Jeffers city	44.06	-95.2
Jenkins city	46.65	-94.33
Johnson city	45.57	-96.29
Jordan city	44.66	-93.64
Kandiyohi city	45.13	-94.93
Karlstad city	48.58	-96.52
Kasota city	44.29	-93.97
Kasson city	44.03	-92.75
Keewatin city	47.4	-93.08
Kelliher city	47.94	-94.45
Kellogg city	44.31	-92
Kennedy city	48.64	-96.91
Kenneth city	43.75	-96.07
Kensington city	45.78	-95.7
Kent city	46.44	-96.68
Kenyon city	44.27	-92.99
Kerkhoven city	45.19	-95.32
Kerrick city	46.34	-92.58
Kettle River city	46.49	-92.88
Kiester city	43.54	-93.71
Kilkenny city	44.32	-93.57
Kimball city	45.31	-94.3
Kinbrae city	43.83	-95.48
Kingston city	45.2	-94.31
Kinney city	47.52	-92.72
La Crescent city	43.83	-91.3
La Prairie city	47.23	-93.49
La Salle city	44.07	-94.57
Lafayette city	44.45	-94.39
Lake Benton city	44.26	-96.29
Lake Bronson city	48.73	-96.66
Lake City city	44.45	-92.28
Lake Crystal city	44.11	-94.22
Lake Elmo city	44.99	-92.9
Lake George	47.19	-94.98
Lake Henry city	45.46	-94.8
Lake Lillian city	44.95	-94.88
Lake Park city	46.88	-96.1
Lake Shore city	46.5	-94.36
Lake St. Croix Beach city	44.92	-92.77
Lake Wilson city	44	-95.95
Lakefield city	43.68	-95.17
Lakeland city	44.95	-92.77
Lakeland Shores city	44.95	-92.76
	 	
Location	Latitude	Longitude
Lakeville city	44.68	-93.25
Lamberton city	44.23	-95.27
Lancaster city	48.86	-96.8
Landfall city	44.95	-92.98
Lanesboro city	43.72	-91.97
Lansing	43.75	-92.97
Laporte city	47.21	-94.76
Lastrup city	46.04	-94.06
Lauderdale city	44.99	-93.2
Le Center city	44.39	-93.73
Le Roy city	43.51	-92.51
Le Sueur city	44.47	-93.9
Lengby city	47.51	-95.63
Leonard city	47.65	-95.27
Leonidas city	47.47	-92.57
Leota	43.83	-96.02
Lester Prairie city	44.88	-94.04
Lewiston city	43.98	-91.87
Lewisville city	43.92	-94.44
Lexington city	45.14	-93.17
Lilydale city	44.91	-93.13
Lindstrom city	45.39	-92.85
Lino Lakes city	45.17	-93.08
Lismore city	43.75	-95.95
Litchfield city	45.12	-94.53
Little Canada city	45.02	-93.09
Little Falls city	45.98	-94.36
